year,iso3st,grpop,pop_density
2010,ARM,-0.693856289,106.9476642
2011,ARM,-0.556590763,106.3540569
2012,ARM,-0.125578338,106.2205831
2013,ARM,-0.06946627,106.1468212
2014,ARM,-0.271712285,105.8587987
2015,ARM,-0.305729336,105.5356516
2016,ARM,-0.410212518,105.1036178
2017,ARM,-0.43203845,104.6505093
2018,ARM,-0.349674218,104.2852125
2019,ARM,-0.219168932,104.056902
2020,ARM,-0.033760973,104.0217773
2021,ARM,0.02700969,104.0498771
1960,ASM,..,..
1961,ASM,2.612957795,103.33
1962,ASM,3.01233338,106.49
1963,ASM,3.088263177,109.83
1964,ASM,3.167898588,113.365
1965,ASM,3.181761051,117.03
1966,ASM,3.07121021,120.68
1967,ASM,2.967625273,124.315
1968,ASM,2.975832242,128.07
1969,ASM,2.927751479,131.875
1970,ASM,2.438277382,135.13
1971,ASM,1.858591963,137.665
1972,ASM,1.664063755,139.975
1973,ASM,1.563002527,142.18
1974,ASM,1.532022077,144.375
1975,ASM,1.767831159,146.95
1976,ASM,1.917529982,149.795
1977,ASM,1.858519102,152.605
1978,ASM,1.802084581,155.38
1979,ASM,1.70693442,158.055
1980,ASM,2.474584982,162.015
1981,ASM,3.579875197,167.92
1982,ASM,3.869491254,174.545
1983,ASM,3.827384829,181.355
1984,ASM,3.776585565,188.335
1985,ASM,3.741481083,195.515
1986,ASM,3.685433528,202.855
1987,ASM,3.632891062,210.36
1988,ASM,3.60186916,218.075
1989,ASM,3.549682408,225.955
1990,ASM,3.156059007,233.2
1991,ASM,2.628110887,239.41
1992,ASM,2.385585685,245.19
1993,ASM,2.260245216,250.795
1994,ASM,2.15371701,256.255
1995,ASM,2.05671216,261.58
1996,ASM,1.962795697,266.765
1997,ASM,1.873517177,271.81
1998,ASM,1.772216744,276.67
1999,ASM,1.638293709,281.24
2000,ASM,1.073368218,284.275
2001,ASM,0.34764933,285.265
2002,ASM,0.015773562,285.31
2003,ASM,-0.159602956,284.855
2004,ASM,-0.26891895,284.09
2005,ASM,-0.354388346,283.085
2006,ASM,-0.430123416,281.87
2007,ASM,-0.464054457,280.565
2008,ASM,-0.509197909,279.14
2009,ASM,-0.538813761,277.64
2010,ASM,-0.541732698,276.14
2011,ASM,-0.604780137,274.475
2012,ASM,-0.742342325,272.445
2013,ASM,-0.890369493,270.03
2014,ASM,-1.004921364,267.33
2015,ASM,-1.105856451,264.39
2016,ASM,-1.204318086,261.225
2017,ASM,-1.269387464,257.93
2018,ASM,-1.323023571,254.54
2019,ASM,-1.382578863,251.045
2020,ASM,-0.89627488,248.805
2021,ASM,-1.082992017,246.125
1960,ATG,..,..
1961,ATG,1.671119563,128.5
1962,ATG,1.398034643,130.3090909
1963,ATG,1.389079612,132.1318182
